unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,metric,first_year,last_year,n_years,first_value,last_value,absolute_change,percent_change,average_annual_change,slope,intercept,r_squared,p_value,std_error
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,267,226,-41,-0.153558052,-4.555555556,-5.63030303,11623.92727,0.423396163,0.0416089,2.323015361
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.415730337,0.561946903,0.146216566,0.351710117,0.016246285,0.006307883,-12.27003691,0.009873113,0.784775574,0.022333511
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.411985019,0.194690265,-0.217294753,-0.527433628,-0.024143861,-0.016380425,33.4841627,0.04920333,0.537950838,0.025458145
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.172284644,0.243362832,0.071078188,0.412562524,0.007897576,0.010072542,-20.21412579,0.098187587,0.377979579,0.010792546
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.265917603,0.345132743,0.07921514,0.297893556,0.008801682,0.00890265,-17.69694638,0.785735748,0.000633532,0.001643656
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.415730337,0.362831858,-0.052898479,-0.127242287,-0.005877609,-0.007236935,15.07561633,0.110971361,0.346915742,0.00724206
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.146067416,0.048672566,-0.097394849,-0.666780123,-0.01082165,-0.011738257,23.83545583,0.38055259,0.057457449,0.005294848
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.827715356,0.756637168,-0.071078188,-0.085872743,-0.007897576,-0.010072542,21.21412579,0.098187587,0.377979579,0.010792546
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.68164794,0.707964602,0.026316662,0.03860741,0.002924074,0.001665715,-2.621330048,0.009464863,0.789186403,0.006024673
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,5.761689291,7.497076023,1.735386732,0.301194085,0.192820748,0.164239268,-325.9714385,0.309549215,0.094863371,0.086722845
110097,Biola University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,14.96254682,14.96312684,0.000580027,3.87653E-05,6.44475E-05,-0.043684148,102.7374443,0.010215973,0.781145349,0.152022973
110413,California Lutheran University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,198,156,-42,-0.212121212,-4.666666667,-3.945454545,8152.290909,0.781884599,0.00068161,0.736756349
110413,California Lutheran University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.464646465,0.608974359,0.144327894,0.310618729,0.016036433,0.010505208,-20.66412186,0.619883451,0.006862243,0.00290846
110413,California Lutheran University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.252525253,0.173076923,-0.079448329,-0.314615385,-0.008827592,-0.008299401,16.96487341,0.796343249,0.000514423,0.001483888
110413,California Lutheran University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.282828283,0.217948718,-0.064879565,-0.229395604,-0.007208841,-0.002205807,4.699248444,0.098655754,0.376783432,0.002357255
110413,California Lutheran University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.272727273,0.41025641,0.137529138,0.504273504,0.015281015,0.014982351,-29.94101495,0.948130495,2.02172E-06,0.001238959
