ntt_per_tt_loss,student_growth_rate,replacement_rate,year,assistant,associate,full,ntt,total_faculty,total_students,student_ntt_ratio,student_faculty_ratio
15.4,-0.01,0,2025,247,378,493,566,1684,27510,48.615,16.336
15.4,-0.01,0,2026,199,374,485,711,1769,27235,38.295,15.4
15.4,-0.01,0,2027,159,365,476,751,1751,26963,35.903,15.4
15.4,-0.01,0,2028,126,352,467,788,1733,26693,33.876,15.4
15.4,-0.01,0,2029,100,335,458,822,1716,26426,32.132,15.4
15.4,-0.01,0,2030,80,317,448,855,1699,26162,30.612,15.4
15.4,-0.01,0,2031,63,297,437,885,1682,25900,29.274,15.4
15.4,-0.01,0,2032,50,276,426,913,1665,25641,28.085,15.4
15.4,-0.01,0,2033,40,256,413,939,1648,25385,27.022,15.4
15.4,-0.01,0,2034,31,236,400,964,1632,25131,26.065,15.4
15.4,-0.01,0,2035,25,217,387,987,1616,24880,25.2,15.4
15.9,-0.01,0,2025,247,378,493,566,1684,27510,48.615,16.336
15.9,-0.01,0,2026,199,374,485,689,1746,27235,39.538,15.597
15.9,-0.01,0,2027,159,365,476,727,1727,26963,37.068,15.611
15.9,-0.01,0,2028,126,352,467,763,1709,26693,34.976,15.623
15.9,-0.01,0,2029,100,335,458,797,1690,26426,33.175,15.636
15.9,-0.01,0,2030,80,317,448,828,1672,26162,31.606,15.648
15.9,-0.01,0,2031,63,297,437,857,1654,25900,30.224,15.659
15.9,-0.01,0,2032,50,276,426,884,1636,25641,28.997,15.67
15.9,-0.01,0,2033,40,256,413,910,1619,25385,27.899,15.681
15.9,-0.01,0,2034,31,236,400,934,1602,25131,26.912,15.692
15.9,-0.01,0,2035,25,217,387,956,1585,24880,26.019,15.702
16.4,-0.01,0,2025,247,378,493,566,1684,27510,48.615,16.336
16.4,-0.01,0,2026,199,374,485,668,1725,27235,40.782,15.787
16.4,-0.01,0,2027,159,365,476,705,1705,26963,38.234,15.814
16.4,-0.01,0,2028,126,352,467,740,1685,26693,36.076,15.839
16.4,-0.01,0,2029,100,335,458,772,1666,26426,34.218,15.864
16.4,-0.01,0,2030,80,317,448,803,1647,26162,32.6,15.887
16.4,-0.01,0,2031,63,297,437,831,1628,25900,31.175,15.91
16.4,-0.01,0,2032,50,276,426,857,1609,25641,29.909,15.933
16.4,-0.01,0,2033,40,256,413,882,1591,25385,28.777,15.954
16.4,-0.01,0,2034,31,236,400,905,1573,25131,27.758,15.976
16.4,-0.01,0,2035,25,217,387,927,1555,24880,26.837,15.996
16.9,-0.01,0,2025,247,378,493,566,1684,27510,48.615,16.336
16.9,-0.01,0,2026,199,374,485,648,1705,27235,42.025,15.97
16.9,-0.01,0,2027,159,365,476,684,1684,26963,39.4,16.01
16.9,-0.01,0,2028,126,352,467,718,1663,26693,37.176,16.048
16.9,-0.01,0,2029,100,335,458,749,1643,26426,35.262,16.084
